Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
1977,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,FR,GB,XX,,4,skins,,,
1977,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,ES,XX,215,,shoes,,,
1977,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,FR,ID,,444,skins,,,
1977,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,AU,CN,,2,,live,,,
1978,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,298,,skins,,,
1978,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,1016,,skins,,,
1978,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,TH,,1,,live,,,
1978,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,AU,SG,,1,,leather products (small),,,
1978,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,CN,,350,,skins,,,
1978,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,3331,,skins,,,
1979,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,CA,US,XX,,1,shoes,,T,
1979,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,US,ES,ID,273,,skins,,T,
1979,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,US,ES,XX,356,,skins,,T,
1979,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,CN,70,,skins,,T,
1979,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,5120,,skins,,T,
1979,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,JP,GB,XX,,174,skins,,,
1979,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,ES,XX,1,,live,,T,
1979,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,ES,XX,9,,skins,,T,
1979,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,ID,,973,,skins,,T,
1979,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,JP,ID,1489,,skins,,T,
1979,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,2448,,skins,,T,
1979,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,MY,,499,,skins,,T,
1979,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,JP,ID,1490,,skins,,T,
1979,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,1247,,skins,,T,
1979,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,TW,CN,500,,skins,,T,
1980,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,US,TW,XX,1,,leather products (small),,P,
1980,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,ID,1553,,skins,,T,
1980,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,SG,385,,skins,,T,
1980,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,472,,skins,,T,
1980,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,,685,skins,,,
1980,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,,400,,skins,,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,ID,,750,,skins,,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,JP,ID,450,,live,,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,JP,ID,5436,,skins,,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,JP,MY,4331,,skins,,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,JP,SG,757,,skins,,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,178,,skins,m,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,908,,skins,,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,,2989,skins,,,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,184,,skin pieces,m,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,JP,,5582,,skins,,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,SG,TH,100,,skins,,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,SG,XX,800,,skins,,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,TH,,12,,leather products (small),,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,TH,,14,,skins,,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,TW,MY,300,,skins,,T,
1980,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,US,XX,KR,1,,skins,,T,
1980,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,JP,ID,6471,,skins,,T,
1980,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,JP,ID,50,,skin pieces,m,T,
1980,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,JP,TW,48,,skins,,T,
1980,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,,122,skins,cm,,
1980,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,JP,XX,550,,skins,,T,
1980,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,JP,,1382,,skins,,T,
1980,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,TW,ID,800,,skins,,T,
1980,II,Manis pentadactyla,Mammalia,Pholidota,Manidae,Manis,US,TW,,550,,skins,,T,
1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,HK,XX,,11,,bodies,,,I
1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,HK,XX,,29,,live,,,I
1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,HK,XX,,1,,skin pieces,cartons,,I
1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,US,PH,,1,,bodies,,P,
1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,US,TH,XX,1,,shoes,,P,
1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,US,TH,,6,,shoes,,P,
1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,US,TH,,4,,leather items,,P,
1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,US,XX,TH,4,,shoes,,P,
1981,II,Manis spp.,Mammalia,Pholidota,Manidae,Manis,US,XX,TH,4,,leather items,,P,
1981,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,IN,252,,skins,,T,
1981,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,MY,673,,skins,,T,
1981,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,SG,76,,skins,,T,
1981,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,,,28032,skins,cm,T,
1981,II,Manis crassicaudata,Mammalia,Pholidota,Manidae,Manis,US,JP,,556,884,skins,,T,
